"RM","Year","Sum_days_rm_dry","Latitude","Longitude"
"100",2011,5,34.07340677,-106.8703315
"100",2004,29,34.07340677,-106.8703315
"100",2003,1,34.07340677,-106.8703315
"100",2008,0,34.07340677,-106.8703315
"100",2006,0,34.07340677,-106.8703315
"100",2018,0,34.07340677,-106.8703315
"100",2010,0,34.07340677,-106.8703315
"100",2009,0,34.07340677,-106.8703315
"100",2014,0,34.07340677,-106.8703315
"100",2005,0,34.07340677,-106.8703315
"100",2007,0,34.07340677,-106.8703315
"100",2016,0,34.07340677,-106.8703315
"100",2015,0,34.07340677,-106.8703315
"100",2017,0,34.07340677,-106.8703315
"100",2012,45,34.07340677,-106.8703315
"100",2013,0,34.07340677,-106.8703315
"101",2009,0,34.08474387,-106.8688445
"101",2008,0,34.08474387,-106.8688445
"101",2003,1,34.08474387,-106.8688445
"101",2006,0,34.08474387,-106.8688445
"101",2010,0,34.08474387,-106.8688445
"101",2007,0,34.08474387,-106.8688445
"101",2014,0,34.08474387,-106.8688445
"101",2005,0,34.08474387,-106.8688445
"101",2013,0,34.08474387,-106.8688445
"101",2016,0,34.08474387,-106.8688445
"101",2004,28,34.08474387,-106.8688445
"101",2017,0,34.08474387,-106.8688445
"101",2018,0,34.08474387,-106.8688445
"101",2012,25,34.08474387,-106.8688445
"101",2011,2,34.08474387,-106.8688445
"101",2015,0,34.08474387,-106.8688445
"102",2009,0,34.0947941,-106.8770592
"102",2014,0,34.0947941,-106.8770592
"102",2015,0,34.0947941,-106.8770592
"102",2013,0,34.0947941,-106.8770592
"102",2016,0,34.0947941,-106.8770592
"102",2011,0,34.0947941,-106.8770592
"102",2007,0,34.0947941,-106.8770592
"102",2018,0,34.0947941,-106.8770592
"102",2003,1,34.0947941,-106.8770592
"102",2006,0,34.0947941,-106.8770592
"102",2017,0,34.0947941,-106.8770592
"102",2012,21,34.0947941,-106.8770592
"102",2008,0,34.0947941,-106.8770592
"102",2005,0,34.0947941,-106.8770592
"102",2004,28,34.0947941,-106.8770592
"102",2010,0,34.0947941,-106.8770592
"103",2016,0,34.10683319,-106.8821828
"103",2015,0,34.10683319,-106.8821828
"103",2009,0,34.10683319,-106.8821828
"103",2011,0,34.10683319,-106.8821828
"103",2017,0,34.10683319,-106.8821828
"103",2014,0,34.10683319,-106.8821828
"103",2003,1,34.10683319,-106.8821828
"103",2005,0,34.10683319,-106.8821828
"103",2013,0,34.10683319,-106.8821828
"103",2008,0,34.10683319,-106.8821828
"103",2010,0,34.10683319,-106.8821828
"103",2004,28,34.10683319,-106.8821828
"103",2018,0,34.10683319,-106.8821828
"103",2007,0,34.10683319,-106.8821828
"103",2006,0,34.10683319,-106.8821828
"103",2012,19,34.10683319,-106.8821828
"104",2011,0,34.11934766,-106.8868777
"104",2016,0,34.11934766,-106.8868777
"104",2009,0,34.11934766,-106.8868777
"104",2014,0,34.11934766,-106.8868777
"104",2003,1,34.11934766,-106.8868777
"104",2005,0,34.11934766,-106.8868777
"104",2015,0,34.11934766,-106.8868777
"104",2008,0,34.11934766,-106.8868777
"104",2010,0,34.11934766,-106.8868777
"104",2012,17,34.11934766,-106.8868777
"104",2017,0,34.11934766,-106.8868777
"104",2013,0,34.11934766,-106.8868777
"104",2018,0,34.11934766,-106.8868777
"104",2007,0,34.11934766,-106.8868777
"104",2004,28,34.11934766,-106.8868777
"104",2006,0,34.11934766,-106.8868777
"105",2015,0,34.13193032,-106.8834036
"105",2004,25,34.13193032,-106.8834036
"105",2009,0,34.13193032,-106.8834036
"105",2005,0,34.13193032,-106.8834036
"105",2006,0,34.13193032,-106.8834036
"105",2003,1,34.13193032,-106.8834036
"105",2008,0,34.13193032,-106.8834036
"105",2018,0,34.13193032,-106.8834036
"105",2016,0,34.13193032,-106.8834036
"105",2017,0,34.13193032,-106.8834036
"105",2007,0,34.13193032,-106.8834036
"105",2013,0,34.13193032,-106.8834036
"105",2010,0,34.13193032,-106.8834036
"105",2012,10,34.13193032,-106.8834036
"105",2014,0,34.13193032,-106.8834036
"105",2011,0,34.13193032,-106.8834036
"106",2003,1,34.14385943,-106.878605
"106",2006,0,34.14385943,-106.878605
"106",2004,24,34.14385943,-106.878605
"106",2014,0,34.14385943,-106.878605
"106",2015,0,34.14385943,-106.878605
"106",2018,0,34.14385943,-106.878605
"106",2012,0,34.14385943,-106.878605
"106",2013,0,34.14385943,-106.878605
"106",2017,0,34.14385943,-106.878605
"106",2011,0,34.14385943,-106.878605
"106",2009,0,34.14385943,-106.878605
"106",2016,0,34.14385943,-106.878605
"106",2007,0,34.14385943,-106.878605
"106",2005,0,34.14385943,-106.878605
"106",2010,0,34.14385943,-106.878605
"106",2008,0,34.14385943,-106.878605
"107",2017,0,34.1561398,-106.8831366
"107",2016,0,34.1561398,-106.8831366
"107",2014,0,34.1561398,-106.8831366
"107",2012,0,34.1561398,-106.8831366
"107",2009,0,34.1561398,-106.8831366
"107",2006,0,34.1561398,-106.8831366
"107",2004,23,34.1561398,-106.8831366
"107",2008,0,34.1561398,-106.8831366
"107",2010,0,34.1561398,-106.8831366
"107",2013,0,34.1561398,-106.8831366
"107",2018,0,34.1561398,-106.8831366
"107",2007,0,34.1561398,-106.8831366
"107",2011,0,34.1561398,-106.8831366
"107",2003,1,34.1561398,-106.8831366
"107",2005,0,34.1561398,-106.8831366
